ID,Label,Device A,Termination A,Termination A Type,Termination B,Termination B Type,Device B,Type,Status,Color,Location A,Location B,Rack A,Rack B
28,UPLINK-sr04-leaf01-cr1-spine01-L2,sr04-leaf01,Ethernet1/51,dcim.interface,Ethernet1/14,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-04,CORE-RACK-01
29,UPLINK-sr04-leaf01-cr1-spine02-L1,sr04-leaf01,Ethernet1/49,dcim.interface,Ethernet1/13,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-04,CORE-RACK-01
30,UPLINK-sr04-leaf01-cr1-spine02-L2,sr04-leaf01,Ethernet1/51,dcim.interface,Ethernet1/14,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-04,CORE-RACK-01
31,UPLINK-sr04-leaf02-cr1-spine01-L1,sr04-leaf02,Ethernet1/51,dcim.interface,Ethernet1/15,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-04,CORE-RACK-01
32,UPLINK-sr04-leaf02-cr1-spine01-L2,sr04-leaf02,Ethernet1/53,dcim.interface,Ethernet1/16,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-04,CORE-RACK-01
33,UPLINK-sr04-leaf02-cr1-spine02-L1,sr04-leaf02,Ethernet1/51,dcim.interface,Ethernet1/15,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-04,CORE-RACK-01
34,UPLINK-sr04-leaf02-cr1-spine02-L2,sr04-leaf02,Ethernet1/53,dcim.interface,Ethernet1/16,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-C,DC1-ROW-A,SERVER-RACK-04,CORE-RACK-01
35,UPLINK-sr05-leaf01-cr1-spine01-L1,sr05-leaf01,Ethernet1/49,dcim.interface,Ethernet1/17,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-05,CORE-RACK-01
36,UPLINK-sr05-leaf01-cr1-spine01-L2,sr05-leaf01,Ethernet1/51,dcim.interface,Ethernet1/18,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-05,CORE-RACK-01
37,UPLINK-sr05-leaf01-cr1-spine02-L1,sr05-leaf01,Ethernet1/49,dcim.interface,Ethernet1/17,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-05,CORE-RACK-01
38,UPLINK-sr05-leaf01-cr1-spine02-L2,sr05-leaf01,Ethernet1/51,dcim.interface,Ethernet1/18,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-05,CORE-RACK-01
39,UPLINK-sr05-leaf02-cr1-spine01-L1,sr05-leaf02,Ethernet1/51,dcim.interface,Ethernet1/19,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-05,CORE-RACK-01
40,UPLINK-sr05-leaf02-cr1-spine01-L2,sr05-leaf02,Ethernet1/53,dcim.interface,Ethernet1/20,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-05,CORE-RACK-01
41,UPLINK-sr05-leaf02-cr1-spine02-L1,sr05-leaf02,Ethernet1/51,dcim.interface,Ethernet1/19,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-05,CORE-RACK-01
42,UPLINK-sr05-leaf02-cr1-spine02-L2,sr05-leaf02,Ethernet1/53,dcim.interface,Ethernet1/20,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-05,CORE-RACK-01
43,UPLINK-sr06-leaf01-cr1-spine01-L1,sr06-leaf01,Ethernet1/49,dcim.interface,Ethernet1/21,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-06,CORE-RACK-01
44,UPLINK-sr06-leaf01-cr1-spine01-L2,sr06-leaf01,Ethernet1/51,dcim.interface,Ethernet1/22,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-06,CORE-RACK-01
45,UPLINK-sr06-leaf01-cr1-spine02-L1,sr06-leaf01,Ethernet1/49,dcim.interface,Ethernet1/21,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-06,CORE-RACK-01
46,UPLINK-sr06-leaf01-cr1-spine02-L2,sr06-leaf01,Ethernet1/51,dcim.interface,Ethernet1/22,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-06,CORE-RACK-01
47,UPLINK-sr06-leaf02-cr1-spine01-L1,sr06-leaf02,Ethernet1/51,dcim.interface,Ethernet1/23,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-06,CORE-RACK-01
48,UPLINK-sr06-leaf02-cr1-spine01-L2,sr06-leaf02,Ethernet1/53,dcim.interface,Ethernet1/24,dcim.interface,cr1-spine01,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-06,CORE-RACK-01
49,UPLINK-sr06-leaf02-cr1-spine02-L1,sr06-leaf02,Ethernet1/51,dcim.interface,Ethernet1/23,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-06,CORE-RACK-01
50,UPLINK-sr06-leaf02-cr1-spine02-L2,sr06-leaf02,Ethernet1/53,dcim.interface,Ethernet1/24,dcim.interface,cr1-spine02,OM4-MMF-100G,Connected,#ff9800,DC1-ROW-D,DC1-ROW-A,SERVER-RACK-06,CORE-RACK-01
51,SRV-sr01-srv01-A,sr01-srv01,eth0,dcim.interface,Ethernet1/1,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
52,SRV-sr01-srv01-B,sr01-srv01,eth1,dcim.interface,Ethernet1/1,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
53,SRV-sr01-srv02-A,sr01-srv02,eth0,dcim.interface,Ethernet1/2,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
54,SRV-sr01-srv02-B,sr01-srv02,eth1,dcim.interface,Ethernet1/2,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
55,SRV-sr01-srv03-A,sr01-srv03,eth0,dcim.interface,Ethernet1/3,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
56,SRV-sr01-srv03-B,sr01-srv03,eth1,dcim.interface,Ethernet1/3,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
57,SRV-sr01-srv04-A,sr01-srv04,eth0,dcim.interface,Ethernet1/4,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
58,SRV-sr01-srv04-B,sr01-srv04,eth1,dcim.interface,Ethernet1/4,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
59,SRV-sr01-srv05-A,sr01-srv05,eth0,dcim.interface,Ethernet1/5,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
60,SRV-sr01-srv05-B,sr01-srv05,eth1,dcim.interface,Ethernet1/5,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
61,SRV-sr01-srv06-A,sr01-srv06,eth0,dcim.interface,Ethernet1/6,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
62,SRV-sr01-srv06-B,sr01-srv06,eth1,dcim.interface,Ethernet1/6,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
63,SRV-sr01-srv07-A,sr01-srv07,eth0,dcim.interface,Ethernet1/7,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
64,SRV-sr01-srv07-B,sr01-srv07,eth1,dcim.interface,Ethernet1/7,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
65,SRV-sr01-srv08-A,sr01-srv08,eth0,dcim.interface,Ethernet1/8,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
66,SRV-sr01-srv08-B,sr01-srv08,eth1,dcim.interface,Ethernet1/8,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
67,SRV-sr01-srv09-A,sr01-srv09,eth0,dcim.interface,Ethernet1/9,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
68,SRV-sr01-srv09-B,sr01-srv09,eth1,dcim.interface,Ethernet1/9,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
69,SRV-sr01-srv10-A,sr01-srv10,eth0,dcim.interface,Ethernet1/10,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
70,SRV-sr01-srv10-B,sr01-srv10,eth1,dcim.interface,Ethernet1/10,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
71,SRV-sr01-srv11-A,sr01-srv11,eth0,dcim.interface,Ethernet1/11,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
72,SRV-sr01-srv11-B,sr01-srv11,eth1,dcim.interface,Ethernet1/11,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
73,SRV-sr01-srv12-A,sr01-srv12,eth0,dcim.interface,Ethernet1/12,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
74,SRV-sr01-srv12-B,sr01-srv12,eth1,dcim.interface,Ethernet1/12,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
75,SRV-sr01-srv13-A,sr01-srv13,eth0,dcim.interface,Ethernet1/13,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
76,SRV-sr01-srv13-B,sr01-srv13,eth1,dcim.interface,Ethernet1/13,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
77,SRV-sr01-srv14-A,sr01-srv14,eth0,dcim.interface,Ethernet1/14,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
78,SRV-sr01-srv14-B,sr01-srv14,eth1,dcim.interface,Ethernet1/14,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
79,SRV-sr01-srv15-A,sr01-srv15,eth0,dcim.interface,Ethernet1/15,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
80,SRV-sr01-srv15-B,sr01-srv15,eth1,dcim.interface,Ethernet1/15,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
81,SRV-sr01-srv16-A,sr01-srv16,eth0,dcim.interface,Ethernet1/16,dcim.interface,sr01-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
82,SRV-sr01-srv16-B,sr01-srv16,eth1,dcim.interface,Ethernet1/16,dcim.interface,sr01-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-01,SERVER-RACK-01
83,SRV-sr02-srv01-A,sr02-srv01,eth0,dcim.interface,Ethernet1/1,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
84,SRV-sr02-srv01-B,sr02-srv01,eth1,dcim.interface,Ethernet1/1,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
85,SRV-sr02-srv02-A,sr02-srv02,eth0,dcim.interface,Ethernet1/2,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
86,SRV-sr02-srv02-B,sr02-srv02,eth1,dcim.interface,Ethernet1/2,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
87,SRV-sr02-srv03-A,sr02-srv03,eth0,dcim.interface,Ethernet1/3,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
88,SRV-sr02-srv03-B,sr02-srv03,eth1,dcim.interface,Ethernet1/3,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
89,SRV-sr02-srv04-A,sr02-srv04,eth0,dcim.interface,Ethernet1/4,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
90,SRV-sr02-srv04-B,sr02-srv04,eth1,dcim.interface,Ethernet1/4,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
91,SRV-sr02-srv05-A,sr02-srv05,eth0,dcim.interface,Ethernet1/5,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
92,SRV-sr02-srv05-B,sr02-srv05,eth1,dcim.interface,Ethernet1/5,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
93,SRV-sr02-srv06-A,sr02-srv06,eth0,dcim.interface,Ethernet1/6,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
94,SRV-sr02-srv06-B,sr02-srv06,eth1,dcim.interface,Ethernet1/6,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
95,SRV-sr02-srv07-A,sr02-srv07,eth0,dcim.interface,Ethernet1/7,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
96,SRV-sr02-srv07-B,sr02-srv07,eth1,dcim.interface,Ethernet1/7,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
97,SRV-sr02-srv08-A,sr02-srv08,eth0,dcim.interface,Ethernet1/8,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
98,SRV-sr02-srv08-B,sr02-srv08,eth1,dcim.interface,Ethernet1/8,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
99,SRV-sr02-srv09-A,sr02-srv09,eth0,dcim.interface,Ethernet1/9,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
100,SRV-sr02-srv09-B,sr02-srv09,eth1,dcim.interface,Ethernet1/9,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
101,SRV-sr02-srv10-A,sr02-srv10,eth0,dcim.interface,Ethernet1/10,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
102,SRV-sr02-srv10-B,sr02-srv10,eth1,dcim.interface,Ethernet1/10,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
103,SRV-sr02-srv11-A,sr02-srv11,eth0,dcim.interface,Ethernet1/11,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
104,SRV-sr02-srv11-B,sr02-srv11,eth1,dcim.interface,Ethernet1/11,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
105,SRV-sr02-srv12-A,sr02-srv12,eth0,dcim.interface,Ethernet1/12,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
106,SRV-sr02-srv12-B,sr02-srv12,eth1,dcim.interface,Ethernet1/12,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
107,SRV-sr02-srv13-A,sr02-srv13,eth0,dcim.interface,Ethernet1/13,dcim.interface,sr02-leaf01,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
108,SRV-sr02-srv13-B,sr02-srv13,eth1,dcim.interface,Ethernet1/13,dcim.interface,sr02-leaf02,CAT6A,Connected,#2196f3,DC1-ROW-B,DC1-ROW-B,SERVER-RACK-02,SERVER-RACK-02
